Ру,Ном,Яп
нея,21,ねや
мочь,20,缶
пекарь,18,ベイカー
друг,18,友人
такой,18,の
таня,17,ターニャ
вдруг,13,突然
другой,12,別のもの
чем,11,より
какой-то,11,1つ
утро,10,おはよう
хозяин,10,所有者
никогда,10,決して
дверь,10,ドア
стать,10,なる
крендель,9,プレッツェル
который,9,それは
двор,9,ヤード
хороший,9,よし
только,9,のみ
никто,9,誰もいない
любить,9,愛
двадцать,8,20
шесть,8,六
тяжёлый,8,重い
грязь,8,汚れ
время,8,時間
лопата,8,シャベル
потом,8,じゃあ
если,8,場合
голос,8,声
чтобы,7,に
печь,7,オーブン
нога,7,足
каждый,7,各
знать,7,知っている
песня,7,歌
идти,7,行け
кроме,7,その上
чистый,7,クリーン
как-то,7,なんとか
живой,6,生きる
делать,6,♪do♪
солнце,6,太陽
мастерский,6,巧みな
смеяться,6,笑う
два,6,二つ
ничто,6,何もない
против,6,に対して
лицо,6,人
петь,6,歌う
слушать,6,聞きなさい。
видеть,6,ほら
слово,6,言葉
потому,6,したがって
очень,6,非常に
жизнь,6,人生
кто-то,6,誰か
громко,6,大声で
нет,6,いいえ。
подвал,5,地下
пред,5,前に
товарищ,5,同志
часы,5,時計
стена,5,壁
будто,5,しかし
из-под,5,下から
молчать,5,静かに
иногда,5,時々
среди,5,間
сразу,5,すぐに
немой,5,ダム
дом,5,家
прямо,5,直接
губа,5,唇
сам,5,ご自身
тана,5,タナ
даже,5,でも
наконец,5,ついに！
хотеть,5,欲しい
действительно,5,本当に
хорошо,5,よし
поэтому,5,したがって
почему,5,どのように
ходить,5,行け
начать,5,開始
спросить,5,質問する
уйти,5,エスケープ
ну,5,まあ
выйти,5,出口
окно,4,ウィンドウ
ям,4,ピット
покрыть,4,カバー
давать,4,与える
каменный,4,石
тяжело,4,それは難しい
стол,4,テーブル
сидеть,4,座る
быстро,4,すぐに
тёмный,4,暗い
острый,4,急性
есть,4,食べなさい！
ибо,4,のために
имя,4,名前
речь,4,スピーチ
сырой,4,原油
точно,4,その通り！
иной,4,別のもの
долго,4,長い
сени,4,セニ
нам:,4,私たち:
улыбаться,4,はい、チーズ。
грудь,4,乳房
ранний,4,早い
женщина,4,女
красивый,4,美しい
хотя,4,しかし
что-то,4,何か
нужно,4,必要
показать,4,ショー
любовь,4,愛
кто,4,誰が
булочник,4,ベイカー
или,4,または
увидеть,4,見よ
дело,4,ケース
торопиться,4,急げ！
баба,4,馬場
прийти,4,来い！
готовый,4,準備完了
пойти,4,行け
где,3,どこ
вечер,3,こんばんは
тесто,3,生地
кирпич,3,レンガ
стекло,3,ガラス
толстой,3,トルストイ
тупой,3,鈍い
тест,3,テスト
целый,3,全体
мука,3,小麦粉
сторона,3,側
дрова,3,薪
открыть,3,発見
широкий,3,ワイド
огонь,3,火事！
взгляд,3,ビュー
густой,3,厚い
ненависть,3,憎しみ
выходить,3,出口
длинный,3,長い
девять,3,9
молчание,3,沈黙
мучительный,3,痛みを伴う
начинать,3,開始
кто-нибудь,3,誰か
душа,3,魂
молча,3,mutely
маленький,3,小さい
серый,3,灰色
небо,3,空
крыша,3,屋根
тихо,3,静かに
волна,3,波
сильный,3,強い
громкий,3,大声で
тоска,3,どのように退屈
дорогой,3,高価な
весёлый,3,陽気な
арестантик,3,囚人
приятно,3,愉快に
передник,3,エプロン
стоить,3,あります
волос,3,毛延長
порог,3,しきい値
голов,3,頭
особый,3,スペシャル
самый,3,ほとんど
румяный,3,ルディ
какой,3,何だよ
считать,3,考慮する
более,3,さらに
часто,3,しばしば
погреб,3,セラー
уважать,3,尊敬
должный,3,原因
почему-то,3,なんとか
